ID,UserSeq,Date,Instrument,Type,Side,Amount,Position,Price,Mark Price,Index Price,Cash Flow,Funding,Fee Rate,Fee Charged,Fee Balance,Change,Balance,Equity,Trade ID,Order ID,Info
252179926,1648886402337600,02 Apr 2022 08:00:00,ETH-24JUN22,settlement,short,-6024,-6024,3528.64,0,0,-0.10766171,0,-,0,0,-0.10766171,1.73630701,1.74324998,,,
252152898,1648867396991488,02 Apr 2022 02:43:16,ETH-PERPETUAL,trade,open buy,56,224,3446,3450.56,3450.79,0,0,0,0,0,0,1.84396872,1.76159708,ETH-121446132,ETH-22090081431,Source: 'api:DCX'
252151584,1648867089499690,02 Apr 2022 02:38:09,ETH-PERPETUAL,trade,open buy,56,168,3463.5,3463.2,3462.95,0,0,0,0,0,0,1.84396872,1.75550366,ETH-121445519,ETH-22088599305,Source: 'api:DCX'
252141888,1648862272522553,02 Apr 2022 01:17:52,ETH-PERPETUAL,trade,open buy,56,112,3481,3487.76,3487.78,0,-3e-8,0,0,0,0,1.84396872,1.74285051,ETH-121440847,ETH-22087585935,Source: 'api:DCX'
252129791,1648860446115291,02 Apr 2022 00:47:26,ETH-PERPETUAL,trade,open buy,55,56,3498.5,3498.1,3495.39,0,0,0,0,0,0,1.84396872,1.73790339,ETH-121435025,ETH-22087585317,Source: 'api:DCX'
252129785,1648860446115290,02 Apr 2022 00:47:26,ETH-PERPETUAL,trade,open buy,1,1,3498.5,3498.1,3495.39,0,0,0,0,0,0,1.84396872,1.73790339,ETH-121435024,ETH-22087585317,Source: 'api:DCX'
252127544,1648860312123377,02 Apr 2022 00:45:12,ETH-PERPETUAL,trade,close sell,112,0,3485.1,3482.4,3481.46,0.00032081,-2.3e-7,0,0,0,0,1.84396872,1.74674753,ETH-121433943,ETH-22082525663,Source: 'api:DCX'
252108330,1648846058489314,01 Apr 2022 20:47:38,ETH-PERPETUAL,trade,open buy,56,112,3442,3442.68,3442.41,0,0,0,0,0,0,1.84396872,1.76486091,ETH-121424669,ETH-22076070441,Source: 'api:DCX'
252081393,1648834764665323,01 Apr 2022 17:39:24,ETH-PERPETUAL,trade,open buy,56,56,3459.35,3460.38,3459.5,0,0,0,0,0,0,1.84396872,1.75472339,ETH-121411726,ETH-22076061976,Source: 'api:DCX'
252080517,1648834750308467,01 Apr 2022 17:39:10,ETH-PERPETUAL,trade,close sell,112,0,3458.3,3456.07,3455.45,0.00032296,-1e-8,0,0,0,0,1.84396872,1.75767265,ETH-121411296,ETH-22073494028,Source: 'api:DCX'
252067571,1648830951038462,01 Apr 2022 16:35:51,ETH-PERPETUAL,trade,open buy,56,112,3415.5,3416.98,3415.45,0,-1.5e-7,0,0,0,0,1.84396872,1.77721882,ETH-121405060,ETH-22070547188,Source: 'api:DCX'
252036424,1648825303415377,01 Apr 2022 15:01:43,ETH-PERPETUAL,trade,open buy,56,56,3432.85,3433.49,3431.68,0,0,0,0,0,0,1.84396872,1.7694062,ETH-121390154,ETH-22070536842,Source: 'api:DCX'
252034668,1648825194863383,01 Apr 2022 14:59:54,ETH-PERPETUAL,trade,close sell,56,0,3421.5,3420.37,3418.99,0.00016501,0,0,0,0,0,1.84396872,1.77678898,ETH-121389308,ETH-22069215882,Source: 'api:DCX'
252022730,1648822429435306,01 Apr 2022 14:13:49,ETH-PERPETUAL,trade,open buy,56,56,3387.35,3387.37,3386.35,0,0,0,0,0,0,1.84396872,1.79327807,ETH-121383533,ETH-22069209989,Source: 'api:DCX'
252022594,1648822416443193,01 Apr 2022 14:13:36,ETH-PERPETUAL,trade,close sell,112,0,3388.6,3387.16,3386.1,0.00032947,-1e-8,0,0,0,0,1.84396872,1.79370919,ETH-121383467,ETH-22068619976,Source: 'api:DCX'
252017072,1648821126250342,01 Apr 2022 13:52:06,ETH-PERPETUAL,trade,open buy,56,112,3347,3348.37,3346.76,0,-2e-8,0,0,0,0,1.84396872,1.8128646,ETH-121380821,ETH-22068409016,Source: 'api:DCX'
252014186,1648820546805336,01 Apr 2022 13:42:26,ETH-PERPETUAL,trade,open buy,56,56,3363.35,3363.31,3362.04,0,0,0,0,0,0,1.84396872,1.80443183,ETH-121379417,ETH-22068403366,Source: 'api:DCX'
252013263,1648820492208368,01 Apr 2022 13:41:32,ETH-PERPETUAL,trade,close sell,784,0,3360.7,3352.22,3358.92,0.00550524,-0.00000402,0,0,0,0,1.84396872,1.81103918,ETH-121378975,ETH-22056813830,Source: 'api:DCX'
251969880,1648800002880455,01 Apr 2022 08:00:00,ETH-PERPETUAL,settlement,long,784,784,3283.22,0,0,-0.00258468,-0.00000665,-,0,0,-0.00258468,1.84396872,1.84395254,,,
251966651,1648800002776525,01 Apr 2022 08:00:00,ETH-24JUN22,settlement,short,-6024,-6024,3319.31,0,0,0.06642698,0,-,0,0,0.06642698,1.8465534,1.84395254,,,
251934310,1648781805964389,01 Apr 2022 02:56:45,ETH-PERPETUAL,trade,open buy,56,784,3219.5,3218.81,3217.01,0,-2.9e-7,0,0,0,0,1.78012642,1.87373516,ETH-121343500,ETH-22055623966,Source: 'api:DCX'
